id,name,identity,align,eye,hair,alive,appearances,first_appearance,year
2192,Lady Sapphire (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,11,"1983, September",1983
2193,Laethwen (New Earth),Public Identity,Good Characters,Red Eyes,Red Hair,Deceased Characters,11,"1983, September",1983
2194,Maaldor (New Earth),Public Identity,Bad Characters,Red Eyes,Red Hair,Deceased Characters,11,"1983, April",1983
2196,Mica Love (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,11,"1983, July",1983
2198,Jefferson Jackson (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,11,"1982, June",1982
2200,Ronald Evers (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,11,"1982, June",1982
2203,Valoric (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,11,"1979, October",1979
2205,Beowulf (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,11,"1975, May",1975
2206,Timothy Ravenwind (New Earth),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Living Characters,11,"1973, August",1973
2209,Tigra (New Earth),Public Identity,Neutral Characters,Black Eyes,Red Hair,Deceased Characters,11,"1972, March",1972
2210,Alex Olsen (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,11,"1971, July",1971
2212,Esak (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,11,"1971, September",1971
2213,Gnarrk (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,11,"1971, April",1971
2214,Olivia Reynolds (New Earth),Public Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,11,"1969, September",1969
2215,Lart (New Earth),Public Identity,Good Characters,Black Eyes,Blond Hair,Living Characters,11,"1968, May",1968
2217,Bertram Larvan (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,11,"1966, September",1966
2219,Shaggy Man I (New Earth),Public Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,11,"1966, June",1966
2222,Steven Savage (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,11,"1965, December",1965
2223,Iona Vane (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,11,"1961, October",1961
2224,Musketeer (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,11,"1955, January",1955
2225,Walter Trigger (New Earth),Public Identity,Good Characters,Blue Eyes,Orange Hair,Living Characters,11,"1951, May",1951
2226,Wayne Trigger (New Earth),Public Identity,Good Characters,Blue Eyes,Orange Hair,Living Characters,11,"1951, May",1951
2230,Rose Psychic (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,11,"1937, March",1937
2234,Bilal Asselah (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,10,"2011, February",2011
2236,Hila (New Earth),Secret Identity,Bad Characters,Blue Eyes,Purple Hair,Living Characters,10,"2010, August",2010
2238,Paul Lincoln (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,10,"2010, July",2010
2244,Charis (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,10,"2008, January",2008
2248,Liana Kerzner (New Earth),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Living Characters,10,"2008, November",2008
2256,Rose Levin (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,10,"2007, October",2007
2257,Edison (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,10,"2006, June",2006
2258,I-Ching (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,10,"2006, September",2006
2260,Julie Robinson (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,10,"2006, May",2006
2263,Power Boy (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,10,"2006, September",2006
2265,Stanley Silver (New Earth),Secret Identity,Good Characters,White Eyes,Blond Hair,Living Characters,10,"2006, August",2006
2266,Kara Zor-El II (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,10,"2005, December",2005
2267,Sir Galahad (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Living Characters,10,"2005, May",2005
2268,Gregory Jupiter (New Earth),Public Identity,Bad Characters,Blue Eyes,Grey Hair,Living Characters,10,"2004, July",2004
2269,Jonathan Warren (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,10,"2004, February",2004
2270,Mick Wong (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,10,"2004, July",2004
2271,Simon Lippman (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,10,"2004, January",2004
2273,Daria Hernandez (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,10,"2003, July",2003
2274,Hagen (New Earth),Public Identity,Bad Characters,Grey Eyes,Grey Hair,Living Characters,10,"2003, March",2003
2278,Cylvia Anita Cyber (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,10,"2002, February",2002
2279,Jayita Sahir (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,10,"2002, June",2002
2281,Amunet Black (New Earth),Public Identity,Bad Characters,Black Eyes,Blue Hair,Living Characters,10,"2001, August",2001
2282,Sebastian Ballesteros (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,10,"2001, July",2001
2283,"Stanley Dover, Elder (New Earth)",Secret Identity,Bad Characters,Blue Eyes,Grey Hair,Deceased Characters,10,"2001, April",2001
2286,Cameron Begay (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,10,"2000, March",2000
2289,Killshot (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,10,"2000, November",2000
2293,Lourdes Lucero (New Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,10,"1999, December",1999
2296,Tiger (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,10,"1999, September",1999
2302,Carlos (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,10,"1997, August",1997
2303,Delroy Amberson (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,10,"1997, February",1997
2306,Aaron Langstrom (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,10,"1996, April",1996
2307,Kindred Grim (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,10,"1996, September",1996
2310,Diedre Vance (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,10,1995,1995
2312,White Lightning (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,10,"1995, July",1995
2313,Backlash (New Earth),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,10,"1994, March",1994
2316,Julianna Hut\u00f6ff (New Earth),Public Identity,Bad Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,10,"1994, March",1994
2319,Strom (New Earth),Public Identity,Bad Characters,Black Eyes,Brown Hair,Living Characters,10,"1994, November",1994
2320,Wade LaFarge (New Earth),Secret Identity,Bad Characters,Blue Eyes,Grey Hair,Deceased Characters,10,"1994, October",1994
2322,Patrick Noonan (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,10,1993,1993
2324,Taia (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,10,1993,1993
2327,Jean-Paul Ludovic Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,10,"1992, October",1992
2328,Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Grey Hair,Deceased Characters,10,"1991, March",1991
2330,Daniel Hunter (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,10,"1990, March",1990
2333,Belle Jackson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,10,"1989, January",1989
2339,James Highwater (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,10,"1989, February",1989
2343,Rovo Quashi (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,10,"1989, December",1989
2348,Horace Westlake (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,10,"1988, November",1988
2359,Amazing Grace (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,10,"1987, March",1987
2360,Decay (New Earth),Secret Identity,Bad Characters,Violet Eyes,Red Hair,Living Characters,10,"1987, April",1987
2375,Theodore Gaynor (New Earth),Public Identity,Bad Characters,Green Eyes,Blond Hair,Deceased Characters,10,"1984, January",1984
2383,Tiffany Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,10,"1979, February",1979
2384,Andrew Vinson (Earth-Two),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,10,"1978, February",1978
2386,Frank Tanner (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,10,"1977, July",1977
2387,Robert Coleman (New Earth),Secret Identity,Bad Characters,Grey Eyes,Black Hair,Living Characters,10,"1977, July",1977
2396,Tiger Moth (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,10,"1966, June",1966
2399,Jonathan Dubrovny (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Living Characters,10,"1965, September",1965
2400,Myrwhydden (New Earth),Public Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,10,"1964, January",1964
2401,Flying Stag (New Earth),Secret Identity,Good Characters,Grey Eyes,Black Hair,Deceased Characters,10,"1961, March",1961
2404,Jordan Weir (New Earth),Secret Identity,Bad Characters,Hazel Eyes,Grey Hair,Living Characters,10,"1960, August",1960
2409,Charles Great Eagle (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,10,"1954, September",1954
2412,Queen Clea (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,10,"1944, March",1944
2423,Sasha (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,9,"2009, August",2009
2432,Johnny Riley (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,9,"2008, December",2008
2434,Myrto (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,9,"2008, January",2008
2435,Philomela (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,9,"2008, January",2008
2446,Nicki Jones (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,9,"2006, November",2006
2453,Jonathan Stone (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,9,"2005, August",2005
2455,Preus (New Earth),Secret Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,9,"2004, April",2004
2464,Mister Fun (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,9,"2002, December",2002
2465,Officer Isabella (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2002, August",2002
2469,Dakota Jamison (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2001, May",2001
2471,Andrea Rojas (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,9,"2000, August",2000
2472,Selma Tolon (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"2000, August",2000
2474,Edwin Gauss (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,9,"1999, October",1999
2475,Lucas Ludlow-Dalt (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,9,"1998, October",1998
2478,Maura Rayner (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,9,"1997, July",1997
2487,Kai (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1995, July",1995
2489,Muscles McGinnis (New Earth),Secret Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,9,"1995, May",1995
2490,Nina Damfino (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,9,1995,1995
2491,Sarah Primm (New Earth),Public Identity,Good Characters,Black Eyes,Grey Hair,Deceased Characters,9,"1995, May",1995
2498,Ramsey Murdoch (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,9,"1994, December",1994
2499,Alia (New Earth),Public Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,9,"1993, March",1993
2508,Carleton LeHah (New Earth),Public Identity,Bad Characters,Green Eyes,White Hair,Deceased Characters,9,"1992, October",1992
2509,Cassandra Arnold (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,9,1992,1992
2518,Chantinelle (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,9,"1991, July",1991
2520,Mister Z (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,9,"1991, January",1991
2526,Obeah Man (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,9,"1990, July",1990
2531,Athyns (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Blue Hair,Living Characters,9,"1989, January",1989
2534,Lin Koo Teng (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1989, December",1989
2536,Penthesilea (New Earth),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,9,"1989, August",1989
2543,Kazuo Hasegawa (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1988, August",1988
2549,Raza Kattuah (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,9,"1987, May",1987
2556,Prince Garnet (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1985, April",1985
2558,Nathaniel Dusk (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,9,"1984, February",1984
2560,Gretti (New Earth),Public Identity,Bad Characters,Black Eyes,Violet Hair,Deceased Characters,9,"1983, May",1983
2561,Lady Amethyst (New Earth),Public Identity,Good Characters,Violet Eyes,Blond Hair,Deceased Characters,9,"1983, May",1983
2563,Chaim Lavon (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,9,"1982, June",1982
2564,Gayle Marsh (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,9,"1982, November",1982
2565,Pan (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Deceased Characters,9,"1982, October",1982
2579,Eve Doremus (Earth-One),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,9,"1968, January",1968
2584,Mark Logan (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,9,"1967, June",1967
2586,Beast With No Name (New Earth),Public Identity,Neutral Characters,Black Eyes,Red Hair,Living Characters,9,"1966, January",1966
2587,Thomas Dillon (New Earth),Secret Identity,Bad Characters,Brown Eyes,Blond Hair,Deceased Characters,9,"1966, March",1966
2593,Alphonso Giovanni (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,9,"1955, January",1955
2595,Darwin Jones (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,9,"1950, September",1950
2599,C.C. Haly (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Deceased Characters,9,"1940, April",1940
2604,Margaret Mahoney (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Deceased Characters,8,"2010, August",2010
2606,Rani (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8,"2010, July",2010
2613,Anica Balcescu (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,8,"2008, September",2008
2614,Dodger (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,8,"2008, June",2008
2615,Duel Eknham (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Deceased Characters,8,"2008, June",2008
2617,Kho Kharhi (New Earth),Public Identity,Good Characters,Grey Eyes,Black Hair,Living Characters,8,"2008, May",2008
2624,Bizarro Lois Lane (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,8,"2007, October",2007
2627,Steven Hazard (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Deceased Characters,8,"2007, October",2007
2630,Amanda Turner (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,8,"2006, September",2006
2637,Niang Guan Jun (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,8,"2006, June",2006
2640,Strega II (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,8,"2006, July",2006
2649,Henry Aquista (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8,"2004, April",2004
2656,Hiro Okamura (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,8,"2002, February",2002
2658,Rama Khan (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Deceased Characters,8,"2002, March",2002
2669,Tsaritsa (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,8,"2000, November",2000
2673,Rama Chandra (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,8,"1999, September",1999
2674,Siren (New Earth),Secret Identity,Bad Characters,Black Eyes,Blond Hair,Living Characters,8,"1999, July",1999
2685,Carom (New Earth),Secret Identity,Bad Characters,White Eyes,Red Hair,Living Characters,8,"1997, April",1997
2693,Misa (New Earth),Public Identity,Bad Characters,Green Eyes,Blond Hair,Living Characters,8,"1996, September",1996
2701,Savitar Bandu (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,8,"1995, February",1995
2702,Silver Monkey (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,8,"1995, May",1995
2704,Triton (New Earth),Public Identity,Neutral Characters,Green Eyes,White Hair,Living Characters,8,"1995, July",1995
2706,Bizarro II (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,8,"1994, March",1994
2711,Mandra Darrow (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,8,"1994, April",1994
2716,Carter Channel (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8,1993,1993
2718,Hoppy Greene (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,8,"1993, April",1993
2722,Tally Man I (New Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Living Characters,8,"1993, October",1993
2724,William Kavanagh (New Earth),Secret Identity,Bad Characters,Red Eyes,White Hair,Deceased Characters,8,"1993, November",1993
2731,Ice Man (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8,"1991, October",1991
2740,Shango (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,8,"1990, March",1990
2743,Austin Bowie (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8,"1989, August",1989
2744,Barbie (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,8,"1989, December",1989
2745,Carlotta Rivera (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8,"1989, January",1989
2751,Michael Morice (New Earth),Secret Identity,Good Characters,Brown Eyes,White Hair,Living Characters,8,1989,1989
2753,Sparta (New Earth),Secret Identity,Neutral Characters,Red Eyes,Orange Hair,Deceased Characters,8,"1989, January",1989
2755,Agni (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,8,"1988, September",1988
2759,Myron Mazursky (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,8,"1988, May",1988
2765,Sally Stone (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8,"1988, June",1988
2770,Beautia Sivana (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8,"1987, April",1987
2781,John Monroe (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,8,"1985, August",1985
2783,Armando Ramone (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8,"1984, December",1984
2785,Henry Cannon (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,8,"1984, April",1984
2786,Marschall Saber (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,8,"1984, April",1984
2788,Droxelle (New Earth),Secret Identity,Good Characters,White Eyes,White Hair,Living Characters,8,"1983, October",1983
2794,Emmylou Hartley (Earth-One),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,8,"1981, July",1981
2798,Ashiya (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,8,"1978, January",1978
2799,Clay Stoner (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,8,"1978, September",1978
2802,Jezebelle of New Genesis (New Earth),Secret Identity,Good Characters,Yellow Eyes,Red Hair,Deceased Characters,8,"1977, July",1977
2810,Lucian Crawley (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,8,"1969, March",1969
2812,Timothy Trench (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,8,"1969, February",1969
2815,Lita Brand (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,8,"1968, April",1968
2819,Doctor Cyclops (New Earth),Secret Identity,Bad Characters,Green Eyes,Grey Hair,Living Characters,8,"1967, January",1967
2822,Phillip Hunter (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,8,"1966, April",1966
2830,Abner Krill (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,8,"1962, February",1962
2832,Daniel Dennis (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,8,"1952, February",1952
2844,Kimberly Rebecki (Prime Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,7,"2012, June",2012
2845,Anann (New Earth),Public Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,7,"2011, January",2011
2846,Otto Netz (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,7,"2011, March",2011
2847,Samantha Collins (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,7,"2011, May",2011
2849,Diana Lincoln (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Living Characters,7,"2010, September",2010
2856,Sebastian Hady (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Living Characters,7,"2010, January",2010
2865,Mirabai (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,7,"2009, July",2009
2870,Deborah Poulos (New Earth),Public Identity,Neutral Characters,Green Eyes,Blond Hair,Living Characters,7,"2008, March",2008
2871,Diro Yat (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,7,"2008, January",2008
2872,Guy Dax (New Earth),Secret Identity,Bad Characters,Green Eyes,Brown Hair,Living Characters,7,"2008, June",2008
2873,Jenna Duffy (New Earth),Public Identity,Bad Characters,Green Eyes,Brown Hair,Living Characters,7,"2008, April",2008
2874,John Denetto (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,7,"2008, February",2008
2875,Katherine Webb (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,7,"2008, August",2008
2877,Marguerita Covas (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,7,"2008, June",2008
2881,Deborah Morgna (New Earth),Secret Identity,Bad Characters,Green Eyes,Red Hair,Living Characters,7,"2007, March",2007
2886,Phillip Lorens (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,7,"2007, January",2007
2891,Cheyenne Freemont (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,7,"2006, May",2006
2893,Diego Zhao (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,7,"2006, July",2006
2895,Gonzo the Mechanical Bastard (New Earth),Public Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,7,"2006, October",2006
2902,Ryan Diaz (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,7,"2006, December",2006
2903,Thomas Dinawa (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,7,"2006, August",2006
2912,Yasemin Soze (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,7,"2005, December",2005
2917,Crucifer (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,7,"2004, May",2004
2922,Cinnamon II (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,7,"2003, October",2003
2923,Joanna Tanner (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,7,"2003, July",2003
2925,Nora Fields (New Earth),Public Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,7,"2003, February",2003
2932,Simon Burton (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,7,"2002, December",2002
2940,Samuel Kurtis (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,7,"2000, May",2000
2944,Red Panzer III (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,7,"1999, July",1999
2947,Vext (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,7,"1999, March",1999
2953,Lea Corben (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,7,"1998, December",1998
2964,Tomorrow Woman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,7,"1997, May",1997
2966,Anthony Monetti (New Earth),Public Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,7,"1996, December",1996
2968,DJ (New Earth),Secret Identity,Good Characters,Red Eyes,Red Hair,Deceased Characters,7,"1996, September",1996
2969,Kevin Soong (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,7,"1996, August",1996
2970,Slyfox (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,7,"1996, January",1996
2974,Phillip Parsons (New Earth),Public Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,7,"1995, October",1995
2975,Seong Barclay (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,7,"1995, May",1995
2978,Gillian Wahrman (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,7,"1994, June",1994
2983,Mala (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,7,"1994, October",1994
2985,Musashi (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,7,"1994, April",1994
2987,Sandra Hawke (New Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,7,"1994, November",1994
2993,Gunshot (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,7,"1993, August",1993
2997,Robert Hawkins (Dakotaverse),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,7,"1993, October",1993
3005,Bazil (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,7,"1990, March",1990
3008,Orin I (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,7,"1990, March",1990
